Year,Plot,Layer ,Pignatti_1982,Bartolucci et al_2024,spp_presence_cover 
2024,10,C,Aethionema saxatile (L.) R. Br.,Aethionema saxatile (L.) W.T.Aiton,+
2024,10,C,Anthemis tinctoria L.,Cota tinctoria (L.) J.Gay subsp. australis (R.Fern.) Oberpr. & Greuter,+
2024,10,C,Arrhenatherum elatius (L.) Presl subsp. elatius,Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl subsp. elatius,+
2024,10,C,Asperula purpurea (L.) Ehrend.,Thliphthisa purpurea (L.) P.Caputo & Del Guacchio subsp. purpurea,+
2024,10,C,Brachypodium rupestre (Host) Roem. & Schult.,Brachypodium rupestre (Host) Roem. & Schult.,1
2024,10,C,Bromus erectus Huds.,Bromopsis erecta (Huds.) Fourr.,+
2024,10,C,Cerastium arvense L. subsp. suffruticosum (L.) Nym.,Cerastium arvense L. subsp. suffruticosum (L.) Ces.,+
2024,10,C,Chamaecytisus hirsutus (L.) Link,Cytisus hirsutus L.,+
2024,10,C,Eryngium amethystinum L.,Eryngium amethystinum L.,+
2024,10,C,Festuca circummediterranea Patzke,Festuca circummediterranea Patzke,1
2024,10,C,Festuca inops De Not.,Festuca inops De Not.,+
2024,10,C,Festuca nigrescens Lam. subsp. microphylla (St.-Yves) Mgf.-Dbg.,Festuca rubra L. subsp. commutata (Gaudin) Markgr.-Dann.,+
2024,10,C,Galium corrudifolium Vill.,Galium corrudifolium Vill.,1
2024,10,C,Hieracium pilosella L.,Pilosella officinarum F.W.Schultz & Sch.Bip.,+
2024,10,C,Hypericum perforatum L. subsp. angustifolium (DC.) Gaudin,Hypericum perforatum L. subsp. veronense (Schrank) Ces.,+
2024,10,C,Knautia purpurea (Vill.) Borbás,Knautia calycina (C.Presl) Guss.,+
2024,10,C,Koeleria macrantha (Ledeb.) Sprengel,Koeleria macrantha (Ledeb.) Schult. subsp. macrantha,1
2024,10,C,Koeleria splendens Presl,Koeleria splendens C.Presl,+
2024,10,C,Melica ciliata L.,Melica ciliata L.,2
2024,10,C,Orobanche minor Sm.,Orobanche minor Sm.,+
2024,10,C,Phleum ambiguum Ten.,Phleum hirsutum Honck. subsp. ambiguum (Ten.) Cif. & Giacom.,1
2024,10,C,Poa bulbosa L.,Poa bulbosa L.,+
2024,10,C,Rubus canescens DC.,Rubus canescens DC.,1
2024,10,C,Rubus ulmifolius Schott,Rubus ulmifolius Schott,+
2024,10,C,Sanguisorba minor Scop. subsp. muricata (Gremli) Briq.,Poterium sanguisorba L. subsp. balearicum (Bourg. ex Nyman) Stace,+
2024,10,C,Scrophularia canina L.,Scrophularia canina L.,+
2024,10,C,Sedum album L.,Sedum album L. subsp. album,1
